word_id	en_hw	page	seq_on_page	enwk_part_of_speech	tt_param1	seq_in_param1	keep
DIB0226622	retirement	retirement	1	Noun	act of retiring, or the state of being retired	1	y
DIB0226869	American studies	American studies	1	Noun	an interdisciplinary field dealing with the study of the Americas, with a historical emphasis upon the United States	1	y
DIB0232613	zoo	zoo	1	Noun	park where live animals are exhibited	1	y
DIB0252796	poet	poet	1	Noun	person who writes poems	1	y
DIB0257178	understanding	understanding	3	Noun	opinion, judgement or outlook	1	y
DIB0258925	insure	insure	1	Verb	to provide for compensation if some risk occurs	1	y
DIB0259120	hearty	hearty	3	Adjective	promoting strength, nourishing; abundant	1	y
DIB0267996	come	come	1	Verb	to move nearer	1	y
DIB0276029	twenty	twenty	1	Numeral	cardinal number	1	y
DIB0276482	grumpy	grumpy	1	Adjective	dissatisfied and irritable	1	y
DIB0277040	professor	professor	1	Noun	higher ranking for a teacher or faculty member at a college or university	1	y
DIB0278832	sweater	sweater	2	Noun	similar garment worn for warmth	1	y
DIB0281821	special	special	1	Adjective	distinguished by a unique or unusual quality	1	yp
DIB0282280	aspirin	aspirin	1	Noun	analgesic drug	1	y
DIB0293221	greeting card	greeting card	1	Noun	card sent as a greeting	1	y
DIB0294605	Pentecost	Pentecost	2	Proper noun	Sunday on which the feast or festival of Pentecost falls ''(cognates)''	1	y
DIB0295656	June	June	1	Proper noun	sixth month of the Gregorian calendar	1	y
DIB0300342	society	society	1	Noun	group of people sharing culture	1	y
DIB0302022	supposed to	supposed to	2		required to, obliged to	1	y
DIB0303576	dark	dark	4	Adjective	not bright or light, deeper in hue	1	y
DIB0323324	receive	receive	3	Verb	to act as a host for guests	1	y
DIB0328691	seminar	seminar	1	Noun	class held for advanced studies	1	y
DIB0330964	attentive	attentive	1	Adjective	paying attention	1	y
DIB0332879	shoot	shoot	3	Verb	to hit with a shot	1	yp
DIB0334433	celebrate	celebrate	2	Verb	honour by rites, ceremonies, etc.	1	y
DIB0335713	found	found	1	Verb	to start an organization	1	y
DIB0335944	turn	turn	3	Verb	intransitive: change one's direction of travel	1	y
DIB0336858	at	at	2	Preposition	indicating time	1	y
DIB0340143	tooth	tooth	1	Noun	anatomy: tooth	1	y
DIB0349614	father	father/translations	1	Noun	male parent	1	y
DIB0352398	impress	impress	1	Verb	''(transitive)'' affect (someone) strongly and often favourably	1	y
DIB0354372	sympathize	sympathize	1	Verb	to show sympathy	1	y
DIB0358203	study	study	1	Verb	to revise/review materials	1	y
DIB0358203	study	study	3	Verb	to acquire knowledge	1	y
DIB0360197	energy	energy	3	Noun	physics	1	y
DIB0365057	blouse	blouse	1	Noun	an outer garment, usually loose, that is similar to a shirt	1	y
DIB0365306	creek	creek	2	Noun	stream of water	1	y
DIB0366622	nose	nose/translations	1	Noun	protuberance on the face	1	y
DIB0375801	scanner	scanner	1	Noun	device which scans documents	1	y
DIB0376972	know	know	1	Verb	be justifiably certain or sure about (something true)	1	y
DIB0382380	mother-in-law	mother-in-law	1	Noun	spouse's mother	1	y
DIB0384261	walk	walk	1	Verb	to move on the feet	1	y
DIB0384261	walk	walk	5	Verb	to travel a distance by walking	1	y
DIB0390306	crosswalk	crosswalk	1	Noun	place where pedestrians can cross a street	1	y
DIB0391576	on	on	9	Preposition	positioned at the upper surface of	1	y
DIB0395356	can I buy you a drink	can I buy you a drink	1	Phrase	can I buy you a drink?	1	y
DIB0402897	journey	journey	1	Noun	trip, a voyage	1	y
DIB0414073	queen	queen	1	Noun	female monarch	1	y
DIB0415059	United States	United States	1	Proper noun	the United States	1	y
DIB0418221	kitchen	kitchen	1	Noun	room	1	y
DIB0421478	deaf	deaf	1	Adjective	unable to hear	1	y
DIB0428937	friend	friend/translations	1	Noun	person whose company one enjoys	1	y
DIB0435772	worry	worry	1	Verb	to be troubled	1	y
DIB0440779	strenuous	strenuous	2	Adjective	requiring great exertion	1	y
DIB0442862	stiff	stiff	5	Adjective	of muscles, or parts of the body	1	y
DIB0443389	toothbrush	toothbrush	1	Noun	brush for cleaning the teeth and tongue	1	y
DIB0445731	wake up	wake up	1	Verb	to (become) awake	1	y
DIB0448705	search	search	2	Verb	to look throughout (a place) for something	1	y
DIB0451775	boot	boot	1	Noun	heavy shoe that covers part of the leg	1	y
DIB0460994	play	play	5	Verb	participate in (a sport or game)	1	y
DIB0462443	right	right/translations	24	Interjection	checking agreement	1	y
DIB0462956	small	small	1	Adjective	not large	1	y
DIB0467088	minute	minute	1	Noun	unit of time	1	y
DIB0470051	other	other	1	Adjective	not the one previously referred to	1	y
DIB0474611	mushroom	mushroom	1	Noun	fruiting body of a fungus	1	y
DIB0475400	pass	pass	3	Verb	to go past	1	y
DIB0479236	ourselves	ourselves	1	Pronoun	reflexive: us	1	yp
DIB0487781	impossible	impossible	1	Adjective	not able to be done	1	y
DIB0489559	toothpaste	toothpaste	1	Noun	paste for cleaning the teeth	1	y
DIB0493196	aunt	aunt	1	Noun	a parent's sister or sister-in-law	1	y
DIB0494226	my name is	my name is	1	Phrase	a way to identify oneself	1	y
DIB0503619	washing-up liquid	washing-up liquid	1	Noun	liquid soap used to wash dishes	1	y
DIB0509396	broadcast	broadcast	6	Verb	to transmit a message or signal through radio waves or electronic means	1	y
DIB0516779	dominate	dominate	1	Verb	to govern, rule or control by superior authority or power	1	y
DIB0519095	back	back	1	Adjective	near the rear	1	y
DIB0520222	make	make	3	Verb	to create	1	y
DIB0521060	Germany	Germany	1	Proper noun	id=Q183	1	y
DIB0525257	blind	blind	1	Adjective	unable to see	1	y
DIB0527399	yes	yes	1		word used to indicate agreement or acceptance	1	y
DIB0532697	cherry	cherry	1	Noun	fruit	1	y
DIB0534389	thank	thank	1	Verb	to express appreciation or gratitude toward (someone or something)	1	yp
DIB0542746	duffel bag	duffel bag	1	Noun	large duffel cloth bag used to carry personal gear	1	y
DIB0543064	promise	promise	3	Verb	to commit to something	1	y
DIB0547013	special	special	1	Adjective	distinguished by a unique or unusual quality	1	y
DIB0556124	Hungary	Hungary	1	Proper noun	the country	1	y
DIB0559183	bank	bank	1	Noun	institution	1	y
DIB0559583	impressive	impressive	1	Adjective	making, or tending to make, an impression; having power to impress	1	y
DIB0563187	what's the matter	what's the matter	1	Phrase	what's wrong?	1	y
DIB0567670	downtown	downtown	3	Noun	either the lower, or the business center of a city or town	1	y
DIB0570360	color	color	1	Noun	spectral composition of visible light	1	y
DIB0578744	sixty	sixty	1	Numeral	cardinal number	1	y
DIB0585473	hunt	hunt	1	Verb	to chase down prey	1	y
DIB0585785	at	at	2	Preposition	indicating time	1	y
DIB0589479	university	university	1	Noun	institution of higher education	1	y
DIB0598637	literacy	literacy	2	Noun	understanding of something	1	y
DIB0601383	handkerchief	handkerchief	1	Noun	cloth for wiping the face, eyes, nose or hands	1	y
DIB0602492	narrow	narrow	1	Adjective	having small width	1	y
DIB0612011	kitchen cabinet	kitchen cabinet	1	Noun	built-in cabinet found in a kitchen	1	y
DIB0612127	only child	only child	1	Noun	person who has no siblings	1	y
DIB0619282	dormitory	dormitory	2	Noun	building or part thereof	1	y
DIB0622007	fork	fork	2	Noun	eating utensil	1	y
DIB0622041	me neither	me neither	1	Phrase	me neither	1	y
DIB0623149	steal	steal	1	Verb	to illegally take possession of	1	y
DIB0624187	personal hygiene	personal hygiene	1	Noun	personal hygiene	1	y
DIB0630934	Christmas carol	Christmas carol	1	Noun	hymn whose lyrics are on the theme of Christmas	1	y
DIB0640712	same	same	1	Adjective	not different as regards self; identical	1	y
DIB0641155	reaction	reaction	1	Noun	action in response to an event	1	y
DIB0641933	chair	chair	1	Noun	furniture	1	y
DIB0645886	continuously	continuously	1	Adverb	without pause	1	y
DIB0646998	retell	retell	1	Verb	to tell again	1	y
DIB0647781	taste	taste	8	Verb	to have a taste	1	y
DIB0648260	French	French	1	Proper noun	principal language of France and other related countries	1	y
DIB0651747	cup	cup	1	Noun	drinking vessel	1	y
DIB0665116	we	we	1	Pronoun	generic ''we'' (the speaker and at least one other person, regardless of whether it's the person being addressed)	1	y
DIB0667412	merry	merry	1	Adjective	jolly and full of high-spirits	1	y
DIB0668981	you	you/translations	2	Pronoun	object pronoun: the person being addressed	1	yp
DIB0670240	cook	cook	2	Verb	to prepare food for eating	1	y
DIB0671710	stone	stone	1	Noun	substance	1	y
DIB0697416	plate	plate	1	Noun	flat dish	1	y
DIB0700239	sauna	sauna	1	Noun	sauna room or house	1	y
DIB0704590	shower	shower	8	Verb	to bathe using a shower	1	y
DIB0709418	September	September	1	Proper noun	ninth month of the Gregorian calendar	1	y
DIB0711430	then	then	1	Adverb	at that time	1	y
DIB0715371	her	her/translations	1	Determiner	belonging to	1	y
DIB0718360	cloudy	cloudy	1	Adjective	covered with or characterised by clouds	1	y
DIB0720668	doctor's office	doctor's office	1	Noun	clinic of a doctor	1	y
DIB0728757	achievement	achievement	1	Noun	act of achieving or performing	1	y
DIB0729732	at all	at all	1	Adverb	to the slightest degree, in any way	1	yp
DIB0733106	lemon	lemon	1	Noun	citrus fruit	1	y
DIB0734569	spoiled	spoiled	2	Adjective	(of a person, usually a child) having a selfish or greedy character due to pampering	1	y
DIB0749512	pineapple	pineapple	2	Noun	fruit	1	y
DIB0754495	get used	get used	1	Verb	to become accustomed (''intransitive'')	1	y
DIB0755623	run	run/translations	1	Verb	to move quickly on two feet	1	y
DIB0758547	try on	try on	1	Verb	to test the look of	1	y
DIB0777438	yourselves	yourselves	1	Pronoun	you (referring to the people being spoken to, previously mentioned)	1	yp
DIB0779485	nightgown	nightgown	1	Noun	sleeping garment worn by women	1	y
DIB0781653	busy	busy	2	Adjective	doing a great deal	1	y
DIB0781830	examination	examination	3	Noun	formal test	1	y
DIB0782823	weather forecast	weather forecast	1	Noun	prediction of future weather	1	y
DIB0784341	cheek	cheek	1	Noun	part of face	1	y
DIB0789021	postcode	postcode	1	Noun	sequence of letters and numbers added to a postal address	1	y
DIB0793357	balcony	balcony	1	Noun	structure extending from a building	1	y
DIB0801007	readily	readily	1	Adverb	showing readiness	1	y
DIB0802143	play	play	4	Verb	act in a performance	1	y
DIB0802797	fall asleep	fall asleep	1	Verb	to pass into sleep	1	y
DIB0804288	finish	finish	5	Verb	to complete	1	y
DIB0813698	describe	describe	1	Verb	to represent in words	1	y
DIB0817173	confetti	confetti	1	Noun	small pieces of colored paper generally thrown about at festive occasions	1	y
DIB0824632	breathe a sigh of relief	breathe a sigh of relief	1	Verb	be relieved	1	y
DIB0835213	chocolate	chocolate	1	Noun	food made from ground roasted cocoa beans	1	y
DIB0837752	waiter	waiter	1	Noun	a server in a restaurant or similar	1	y
DIB0842131	your	your	1	Determiner	belonging to you (singular; one owner)	1	y
DIB0847904	myself	myself	1	Pronoun	me, reflexive form of ''me''	1	yp
DIB0849929	as	as/translations	8	Preposition	Introducing a basis of comparison	1	y
DIB0862606	unicycle	unicycle	1	Noun	one-wheeled pedaled cycle	1	y
DIB0867164	nightstand	nightstand	1	Noun	small table placed beside the head of a bed	1	y
DIB0871577	acquaint	acquaint	2	Verb	to communicate notice to	1	yp
DIB0872857	outdoors	outdoors	1	Adverb	in the open air	1	y
DIB0873225	disco	disco	1	Noun	discotheque	1	y
DIB0877019	minor	minor	5	Noun	subject of secondary undergraduate study	1	y
DIB0878063	shine	shine	1	Verb	to emit light	1	y
DIB0891290	hit	hit	1	Verb	to administer a blow	1	y
DIB0897651	brave	brave	1	Adjective	strong in the face of fear	1	y
DIB0904858	ascribe	ascribe	1	Verb	to attribute a cause or characteristic to	1	y
DIB0907541	name day	name day	1	Noun	feast day of a saint	1	y
DIB0919697	butterfly	butterfly	1	Noun	id=Q11946202	1	plural
DIB0924926	seat	seat	1	Noun	place in which to sit	1	y
DIB0927913	disturb	disturb	1	Verb	confuse or irritate	1	y
DIB0936215	premiere	premiere	1	Noun	first showing of a film, play or other form of entertainment	1	y
DIB0936519	combine	combine	1	Verb	bring two or more things or activities together	1	y
DIB0942551	subway	subway	1	Noun	underground railway	1	y
DIB0942828	one day	one day	2	Adverb	at unspecified time in the past	1	y
DIB0948410	board game	board game	1	Noun	game played on a board	1	y
DIB0961676	huge	huge	1	Adjective	very large	1	y
DIB0980123	save	save	9	Verb	computing: to write a file to a storage medium	1	y
DIB0981785	discipline	discipline	1	Noun	controlled behaviour, self-control	1	y
DIB0987189	icy	icy	1	Adjective	pertaining to, resembling, or abounding in ice	1	y
DIB0989853	electric shaver	electric shaver	1	Noun		1	y
DIB0992099	have an affair	have an affair	1	Verb	engage in a relationship while married	1	y
DIB0996198	sea	sea	1	Noun	body of water	1	y
DIB1005069	stereotype	stereotype	1	Noun	conventional, formulaic, and oversimplified conception, opinion, or image	1	y
DIB1013478	well	well	1	Adverb	accurately; competently	1	y
DIB1017590	amicable	amicable	1	Adjective	showing friendliness or goodwill	1	y
DIB1018636	either … or	either … or	1	Conjunction		1	y
DIB1019255	beige	beige	2	Adjective	having a slightly yellowish gray colour	1	y
DIB1022681	mathematics	mathematics	1	Noun	field of study	1	y
DIB1024015	smart	smart	5	Adjective	exhibiting intellectual knowledge, such as that found in books	1	y
DIB1025233	citizen	citizen	1	Noun	legal member of a state	1	y
DIB1027918	light	light	7	Adjective	pale in colour	1	y
DIB1036719	health	health	2	Noun	physical condition	1	y
DIB1042434	separate	separate	4	Verb	to divide itself	1	yp
DIB1049721	river	river/translations	1	Noun	large stream which drains a landmass	1	y
DIB1059379	nobody	nobody	1	Noun	unimportant person	1	y
DIB1072666	perform	perform	5	Verb	to do something in front of an audience	1	y
DIB1073970	find	find	1	Verb	encounter, locate, discover	1	y
DIB1085772	judge	judge	9	Verb	to have as an opinion, consider, suppose	1	y
DIB1093677	expect	expect	1	Verb	to look for, look forward to, anticipate	1	y
DIB1101166	drama	drama	3	Noun	theatrical plays	1	y
DIB1106184	novel	novel	2	Noun	work of prose fiction	1	y
DIB1109254	bear	bear	13	Verb	to endure with patience; to be patient	1	y
DIB1125645	take away	take away	2	Verb	to remove something, either material or abstract, so that a person no longer has it	1	y
DIB1134110	opera	opera	4	Noun	building	1	y
DIB1136582	hair	hair	2	Noun	mass of such filaments on the human head	1	y
DIB1142041	cookie	cookie	1	Noun	small, flat baked good	1	y
DIB1144996	earn	earn	2	Verb	transitive: receive (money) for working	1	y
DIB1150937	appearance	appearance	3	Noun	personal presence, form or look	1	y
DIB1151681	run off	run off	1	Verb	to leave or depart quickly	1	y
DIB1158968	birthday	birthday	1	Noun	anniversary	1	y
DIB1161227	helpful	helpful	1	Adjective	furnishing help; giving aid; useful	1	y
DIB1161946	party game	party game	1	Noun	game played at a party	1	y
DIB1163868	sock	sock	1	Noun	covering for the foot	1	y
DIB1164154	gray	gray	1	Adjective	of a color somewhere between white and black, like [[cinders]]	1	y
DIB1167051	breakfast	breakfast	1	Noun	first meal of the day	1	y
DIB1169053	bitter	bitter	1	Adjective	having an acrid taste	1	y
DIB1172596	police officer	police officer	1	Noun	peace officer who is a member of a police force	1	y
DIB1173525	chancellor	chancellor	2	Noun	head of government in some German-speaking countries	1	y
DIB1173620	slow	slow	1	Adjective	not quick in motion	1	y
DIB1175215	you	you/translations	1	Pronoun	object pronoun: the group being addressed	1	yp
DIB1185157	paper	paper	1	Noun	sheet material	1	y
DIB1187991	past	past	1	Noun	period of time that has already happened	1	y
DIB1195661	windy	windy	1	Adjective	accompanied by wind	1	y
DIB1195916	symphony	symphony	1	Noun	piece of orchestral music	1	y
DIB1208136	yesterday	yesterday	3	Adverb	on the day before today	1	y
DIB1208632	swimming pool	swimming pool	1	Noun	pool for swimming	1	y
DIB1208760	clear	clear	5	Adjective	free of ambiguity or doubt	1	y
DIB1213205	Friday	Friday	2	Adverb	on Friday	1	y
DIB1216020	never	never	1	Adverb	at no time	1	y
DIB1217083	look back	look back	2	Verb	reminisce about the past	1	y
DIB1225872	school	school	1	Noun	an institution dedicated to teaching and learning	1	y
DIB1227829	ten	ten/translations	1	Numeral	the cardinal number occurring after 9 and before 11	1	y
DIB1234378	attack	attack	1	Noun	attempt to cause damage, injury, or death	1	y
DIB1237377	theology	theology	1	Noun	study of God, or a god, or gods	1	y
DIB1238793	economy	economy	3	Noun	production and distribution and consumption	1	y
DIB1245585	send back	send back	1	Verb	to return something to its origin	1	y
DIB1254689	carpet	carpet	1	Noun	a fabric used as a floor covering	1	y
DIB1263312	sew	sew	1	Verb	(transitive) use a needle	1	y
DIB1272170	free time	free time	1	Noun	time when one is not working	1	y
DIB1276898	concentration camp	concentration camp	1	Noun	camp where large numbers of persons are detained	1	y
DIB1281991	will	will	5	Noun	act of choosing to do something; conscious intent or volition	1	y
DIB1286174	cool	cool	7	Adjective	colloquial: being considered as "popular" by others	1	y
DIB1288563	ice cream	ice cream	1	Noun	dessert	1	y
DIB1290302	southern	southern	1	Adjective	of the south	1	y
DIB1296554	fresh	fresh	2	Adjective	(of food) not dried, frozen, or spoiled	1	y
DIB1298168	salty	salty	1	Adjective	tasting of salt	1	y
DIB1313013	injection	injection	1	Noun	act of injecting, or something injected	1	y
DIB1313632	Friday	Friday	1	Noun	day of the week	1	y
DIB1317581	depress	depress	2	Verb	to make depressed, sad or bored	1	y
DIB1334203	skirt	skirt	1	Noun	article of clothing	1	y
DIB1342061	learn	learn	1	Verb	to acquire knowledge or ability	1	y
DIB1352918	fail	fail	6	Verb	to receive one or more non-passing grades in academic pursuits	1	yp
DIB1353079	closed	closed	1	Adjective	not open	1	y
DIB1356361	thank	thank	1	Verb	to express appreciation or gratitude toward (someone or something)	1	y
DIB1358890	noise	noise	1	Noun	various sounds, usually unwanted	1	y
DIB1369931	exclude	exclude	1	Verb	to bar from entering; keep out	1	y
DIB1374374	turn off	turn off	2	Verb	rotate a tap or valve to stop outflow	1	yp
DIB1374479	bulletin board	bulletin board	1	Noun	a board	1	y
DIB1383922	influence	influence	1	Noun	power to affect, control or manipulate	1	y
DIB1392808	cable	cable	2	Noun	assembly of wires for electricity	1	y
DIB1393931	costume	costume	2	Noun	disguise	1	y
DIB1394826	emperor	emperor	1	Noun	ruler of an empire	1	y
DIB1399713	disappear	disappear	1	Verb	to vanish	1	y
DIB1403884	frying pan	frying pan	1	Noun	long-handled, shallow pan used for frying food	1	y
DIB1408340	charge	charge	22	Verb	criminal law, law enforcement: to formally accuse of a crime	1	y
DIB1415813	dress	dress	26	Noun	item of clothing which both covers the upper part of the body and includes a skirt below the waist	1	y
DIB1416221	look up	look up	2	Verb	to obtain information about something from a text source	1	y
DIB1423239	peach	peach	2	Noun	fruit	1	y
DIB1427392	wash	wash	4	Verb	to clean oneself	1	yp
DIB1428344	photo	photo	1	Verb	to take a photograph	1	y
DIB1436988	antibiotic	antibiotic	1	Noun	substance that destroys or inhibits bacteria	1	y
DIB1439874	living room	living room	1	Noun	room in a private house	1	y
DIB1440663	telephone	telephone	1	Noun	telecommunication device which converts data or sounds into electrical signals which are then transmitted to enable two or more people to communicate with each other over a distance	1	y
DIB1445950	instead of	instead of	1	Preposition	in lieu of; in place of; rather than	1	y
DIB1447085	accommodation	accommodation	1	Noun	lodging	1	y
DIB1448090	bathtub	bathtub	1	Noun	large container in which a person may bathe	1	y
DIB1449029	attachment	attachment	6	Noun	file sent along with a message	1	y
DIB1450476	book	book/translations	1	Noun	collection of sheets of paper bound together containing printed or written material	1	y
DIB1451766	buy	buy	1	Verb	to obtain something with money	1	y
DIB1454731	sit	sit	1	Verb	of a person, be in a position in which the upper body is upright and the legs are supported	1	y
DIB1454875	imperialism	imperialism	1	Noun	the policy of extending power, by force	1	y
DIB1461567	builder	builder	1	Noun	a person who builds or constructs things	1	y
DIB1465667	wave	wave	8	Noun	moving disturbance, undulation	1	y
DIB1467405	acceptable	acceptable	1	Adjective	capable, worthy or sure of being accepted	1	y
DIB1477315	unify	unify	1	Verb	cause to become one	1	y
DIB1478087	game	game	1	Noun	playful activity that may be unstructured, amusement, pastime	1	y
DIB1478212	psychologist	psychologist	1	Noun	expert in the field of psychology	1	y
DIB1478527	faith	faith	2	Noun	religious belief system	1	y
DIB1480199	social	social	1	Adjective	extroverted or outgoing	1	y
DIB1486149	Third Reich	Third Reich	1	Proper noun	Germany under the Nazi regime	1	y
DIB1491336	hard of hearing	hard of hearing	1	Adjective	having difficulty hearing	1	y
DIB1497219	when	when	2	Adverb	at what time, as an indirect question	1	y
DIB1498456	Atlantic Ocean	Atlantic Ocean	1	Proper noun	the ocean lying between the Americas to the west and Europe and Africa to the east	1	y
DIB1520326	teacher	teacher/translations	1	Noun	person who teaches	1	y
DIB1523547	mineral water	mineral water	1	Noun	water containing dissolved minerals	1	y
DIB1526587	strive	strive	1	Verb	to sincerely try to achieve, to make one's best effort	1	y
DIB1532121	use	use	4	Verb	employ, apply	1	y
DIB1532121	use	use	5	Verb	to exhaust the supply of, to consume	1	y
DIB1534934	man	man/translations	1	Noun	adult male human	1	y
DIB1542841	cough medicine	cough medicine	1	Noun	medication or medicine used to treat those people with coughing and related conditions	1	y
DIB1544651	shell	shell	27	Noun	by extension, any mollusks having such a covering	1	y
DIB1553852	possibly	possibly	1	Adverb	adverb indicating that a proposition may be true or false	1	y
DIB1553852	possibly	possibly	2	Adverb	adverb indicating that an action may successfully be performed	1	y
DIB1554893	do the dishes	do the dishes	1	Verb	to wash up dishes	1	y
DIB1562031	board	board	14	Verb	to step or climb onto	1	y
DIB1562956	set down	set down	1	Verb	to place on a surface	1	y
DIB1564831	stepmother	stepmother	1	Noun	wife of one's biological father, not one's biological mother	1	y
DIB1565139	eighty	eighty	1	Numeral	80	1	y
DIB1565516	notice	notice	8	Verb	to become aware of	1	y
DIB1567919	consider	consider	1	Verb	think about seriously	1	y
DIB1573020	put on	put on	1	Verb	to don	1	y
DIB1574177	warm	warm	1	Adjective	having a temperature slightly higher than usual	1	y
DIB1576666	dizzy	dizzy	1	Adjective	experiencing a sensation of whirling and being unbalanced	1	y
DIB1579654	whether	whether	1	Conjunction	introducing indirect questions	1	y
DIB1589409	loser	loser	1	Noun	person who fails to win	1	y
DIB1589978	lecture	lecture	1	Noun	a spoken lesson	1	y
DIB1606190	cancel	cancel	2	Verb	invalidate, annul	1	y
DIB1607171	elsewhere	elsewhere	1	Adverb	in some other place	1	y
DIB1607514	New Year's Eve	New Year's Eve	1	Proper noun	holiday on the last day of the year	1	y
DIB1607709	pedagogy	pedagogy	1	Noun	profession of teaching	1	y
DIB1610710	apologize	apologize	3	Verb	to make an apology or excuse	1	y
DIB1617320	excessively	excessively	1	Adverb	to an excessive degree	1	y
DIB1617320	excessively	excessively	2	Adverb	in excess	1	y
DIB1625541	spa	spa	1	Noun	health resort near a mineral spring or hot spring	1	y
DIB1625949	ticket	ticket	1	Noun	admission to entertainment	1	y
DIB1625949	ticket	ticket	2	Noun	pass for transportation	1	y
DIB1633811	chemist	chemist	1	Noun	person working in chemistry	1	y
DIB1647907	oven	oven	1	Noun	chamber used for baking or heating	1	y
DIB1651485	by	by	1	Preposition	near, or next to	1	y
DIB1653189	dance	dance	6	Verb	move rhythmically to music	1	y
DIB1656640	diminish	diminish	1	Verb	To make smaller	1	y
DIB1657649	injure	injure	1	Verb	to wound or cause physical harm	1	y
DIB1659463	east	east	1	Noun	compass point	1	y
DIB1659998	early	early	1	Adjective	at a time in advance of the usual	1	y
DIB1665624	whose	whose	1	Determiner	of whom (interrogative)	1	y
DIB1665712	dress up	dress up	2	Verb	to put on a costume portraying oneself as a particular character or figure	1	y
DIB1666248	political science	political science	1	Noun	study of politics	1	y
DIB1666475	telephone number	telephone number	1	Noun	digits assigned to a telephone	1	y
DIB1668721	fire	fire	4	Verb	to terminate the employment of	1	y
DIB1670103	I'm twenty years old	I'm twenty years old	1	Phrase	I am twenty years old	1	yp
DIB1671822	complete	complete	2	Verb	to make whole or entire	1	y
DIB1689594	alone	alone	3	Adverb	without company	1	y
DIB1705572	desperation	desperation	1	Noun	the act of despairing or becoming desperate; a giving up of hope	1	y
DIB1706279	fireproof	fireproof	1	Adjective	resistant to damage from fire	1	y
DIB1711921	certainly	certainly	2	Adverb	without doubt, surely	1	y
DIB1721328	mature	mature	1	Adjective	fully developed	1	y
